date,description,amount,type,category
2024-01-01,Rent Payment,-1200.00,DEBIT,UTILITIES
2024-01-02,Salary Deposit,3500.00,CREDIT,INCOME
2024-01-05,Grocery Store,-87.43,DEBIT,FOOD
2024-01-08,Netflix Subscription,-15.99,DEBIT,ENTERTAINMENT
2024-01-10,Electric Bill,-120.00,DEBIT,UTILITIES
2024-01-12,Freelance Payment,500.00,CREDIT,INCOME
2024-01-14,Gas Station,-45.00,DEBIT,TRANSPORT
2024-01-15,Pharmacy,-30.00,DEBIT,HEALTHCARE
2024-01-18,Grocery Store,-92.10,DEBIT,FOOD
2024-01-20,Car Insurance,-180.00,DEBIT,TRANSPORT
2024-01-22,Phone Bill,-75.00,DEBIT,UTILITIES
2024-01-25,Restaurant,-55.00,DEBIT,FOOD
2024-01-28,Spotify,-9.99,DEBIT,ENTERTAINMENT
2024-01-30,ATM Withdrawal,-100.00,DEBIT,OTHER
2024-02-01,Rent Payment,-1200.00,DEBIT,UTILITIES
2024-02-02,Salary Deposit,3500.00,CREDIT,INCOME
2024-02-05,Grocery Store,-110.00,DEBIT,FOOD
2024-02-08,Netflix Subscription,-15.99,DEBIT,ENTERTAINMENT
2024-02-10,Electric Bill,-98.00,DEBIT,UTILITIES
2024-02-14,Gas Station,-50.00,DEBIT,TRANSPORT
2024-02-18,Pharmacy,-45.00,DEBIT,HEALTHCARE
2024-02-20,Restaurant,-70.00,DEBIT,FOOD
2024-02-22,Phone Bill,-75.00,DEBIT,UTILITIES
2024-02-25,Grocery Store,-110.00,DEBIT,FOOD
